metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
%_F14,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_I35,34.0,40.0,27.0,41.0,8389.0
%_I35,0.73%,0.86%,0.58%,0.88%,0.53%
N_W61,< 10,< 10,< 10,< 10,< 10
%_W61,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S03,< 10,< 10,< 10,< 10,47.0
%_S03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_W08,< 10,< 10,< 10,< 10,< 10
%_W08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_J09,< 10,< 10,< 10,< 10,< 10
%_J09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_J36,< 10,< 10,< 10,< 10,63.0
%_J36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_G51,< 10,< 10,< 10,< 10,268.0
%_G51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_O36,< 10,< 10,< 10,19.0,3778.0
%_O36,< 0.21%,< 0.21%,< 0.21%,0.41%,0.24%
N_S99,< 10,< 10,< 10,< 10,465.0
%_S99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_A44,< 10,< 10,< 10,< 10,< 10
%_A44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S97,< 10,< 10,< 10,< 10,< 10
%_S97,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_L66,< 10,< 10,< 10,< 10,13.0
%_L66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H91,< 10,< 10,< 10,< 10,725.0
%_H91,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_H69,< 10,< 10,< 10,< 10,165.0
%_H69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L52,< 10,< 10,< 10,< 10,< 10
%_L52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O10,< 10,< 10,< 10,< 10,736.0
