metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
%_C13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S28,< 10,< 10,< 10,< 10,< 10
%_S28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_B25,< 10,18.0,< 10,20.0,947.0
%_B25,< 0.21%,0.39%,< 0.21%,0.43%,0.06%
N_M05,< 10,< 10,< 10,< 10,839.0
%_M05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_G95,< 10,11.0,< 10,< 10,1197.0
%_G95,< 0.21%,0.24%,< 0.21%,< 0.21%,0.08%
N_C90,11.0,13.0,< 10,14.0,4484.0
%_C90,0.24%,0.28%,< 0.21%,0.3%,0.29%
N_W50,< 10,< 10,< 10,< 10,35.0
%_W50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J16,< 10,< 10,< 10,< 10,< 10
%_J16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_B99,< 10,< 10,< 10,< 10,274.0
%_B99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R42,14.0,53.0,16.0,51.0,4978.0
%_R42,0.3%,1.13%,0.34%,1.09%,0.32%
N_W17,< 10,< 10,< 10,< 10,< 10
%_W17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R47,< 10,< 10,< 10,< 10,696.0
%_R47,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_Q43,< 10,< 10,< 10,< 10,211.0
%_Q43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_P71,< 10,< 10,< 10,< 10,14.0
%_P71,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R43,< 10,< 10,< 10,< 10,143.0
%_R43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O11,< 10,< 10,< 10,< 10,57.0
%_O11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O80,< 10,23.0,< 10,28.0,2364.0
%_O80,< 0.21%,0.49%,< 0.21%,0.6%,0.15%
N_E55,< 10,44.0,10.0,37.0,3171.0
%_E55,< 0.21%,0.94%,< 0.21%,0.79%,0.2%
N_I48,60.0,169.0,53.0,164.0,17744.0
%_I48,1.28%,3.62%,1.13%,3.51%,1.13%
N_R87,< 10,< 10,< 10,< 10,357.0
%_R87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_T80,< 10,< 10,< 10,< 10,216.0
%_T80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z12,65.0,21.0,79.0,26.0,23503.0
%_Z12,1.39%,0.45%,1.69%,0.56%,1.49%
N_N94,< 10,< 10,< 10,< 10,1146.0
%_N94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_G54,< 10,< 10,< 10,< 10,203.0
%_G54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z09,< 10,18.0,< 10,27.0,3338.0
%_Z09,< 0.21%,0.39%,< 0.21%,0.58%,0.21%
N_X58,< 10,< 10,< 10,< 10,192.0
%_X58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M89,< 10,10.0,< 10,14.0,1323.0
%_M89,< 0.21%,< 0.21%,< 0.21%,0.3%,0.08%
N_H68,< 10,< 10,< 10,< 10,26.0
%_H68,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T58,< 10,< 10,< 10,< 10,< 10
%_T58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S51,< 10,< 10,< 10,< 10,55.0
%_S51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R94,22.0,88.0,16.0,107.0,6530.0
%_R94,0.47%,1.88%,0.34%,2.29%,0.42%
N_K52,< 10,< 10,< 10,10.0,1835.0
%_K52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.12%
N_L91,< 10,< 10,< 10,< 10,158.0
%_L91,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H36,< 10,< 10,< 10,< 10,20.0
%_H36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T43,< 10,< 10,< 10,< 10,21.0
%_T43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L51,< 10,< 10,< 10,< 10,29.0
%_L51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Y07,< 10,< 10,< 10,< 10,12.0
%_Y07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H53,< 10,< 10,< 10,< 10,957.0
%_H53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_Z0000,< 10,< 10,18.0,< 10,2873.0
%_Z0000,< 0.21%,< 0.21%,0.39%,< 0.21%,0.18%
N_Q38,< 10,< 10,< 10,< 10,63.0
%_Q38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M99,< 10,< 10,< 10,< 10,65.0
%_M99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B38,< 10,< 10,< 10,< 10,< 10
%_B38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G13,< 10,< 10,< 10,< 10,< 10
%_G13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R40,< 10,33.0,< 10,32.0,627.0
%_R40,< 0.21%,0.71%,< 0.21%,0.69%,0.04%
N_J17,< 10,< 10,< 10,< 10,166.0
%_J17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L11,< 10,< 10,< 10,< 10,< 10
%_L11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N49,< 10,< 10,< 10,< 10,45.0
%_N49,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_V89,< 10,< 10,< 10,< 10,404.0
%_V89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_T54,< 10,< 10,< 10,< 10,18.0
%_T54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q45,< 10,< 10,< 10,< 10,34.0
%_Q45,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N85,< 10,< 10,< 10,< 10,295.0
%_N85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S46,< 10,< 10,< 10,< 10,583.0
%_S46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_M20,< 10,< 10,< 10,< 10,628.0
%_M20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_Q73,< 10,< 10,< 10,< 10,< 10
%_Q73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_H71,< 10,< 10,< 10,< 10,163.0
%_H71,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D36,< 10,< 10,< 10,< 10,291.0
%_D36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Z66,< 10,< 10,< 10,< 10,16.0
%_Z66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D13,< 10,< 10,< 10,< 10,130.0
%_D13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_X19,< 10,< 10,< 10,< 10,< 10
%_X19,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D33,< 10,< 10,< 10,< 10,492.0
%_D33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_C21,< 10,< 10,< 10,< 10,745.0
%_C21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_G05,< 10,< 10,< 10,< 10,< 10
%_G05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K61,< 10,< 10,< 10,< 10,266.0
%_K61,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R11,14.0,71.0,11.0,75.0,6207.0
%_R11,0.3%,1.52%,0.24%,1.61%,0.39%
N_P29,< 10,< 10,< 10,< 10,77.0
%_P29,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B18,< 10,20.0,< 10,13.0,1269.0
%_B18,< 0.21%,0.43%,< 0.21%,0.28%,0.08%
N_N82,< 10,< 10,< 10,< 10,78.0
%_N82,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_W53,< 10,< 10,< 10,< 10,14.0
%_W53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D30,< 10,< 10,< 10,< 10,76.0
%_D30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q39,< 10,< 10,< 10,< 10,94.0
%_Q39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Y92,< 10,< 10,< 10,< 10,121.0
%_Y92,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D06,< 10,< 10,< 10,< 10,28.0
%_D06,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q10,< 10,< 10,< 10,< 10,18.0
%_Q10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D67,< 10,< 10,< 10,< 10,< 10
%_D67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q60,< 10,< 10,< 10,< 10,138.0
%_Q60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_B67,< 10,< 10,< 10,< 10,31.0
%_B67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A53,< 10,< 10,< 10,< 10,68.0
%_A53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L20,< 10,< 10,< 10,< 10,147.0
%_L20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O42,< 10,< 10,< 10,< 10,538.0
%_O42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_R39,< 10,10.0,< 10,< 10,844.0
%_R39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_C7A,< 10,< 10,< 10,< 10,687.0
%_C7A,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_T56,< 10,< 10,< 10,< 10,27.0
%_T56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O82,< 10,< 10,< 10,< 10,1038.0
%_O82,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_F43,< 10,15.0,< 10,15.0,1386.0
%_F43,< 0.21%,0.32%,< 0.21%,0.32%,0.09%
N_R81,< 10,< 10,< 10,< 10,17.0
%_R81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B89,< 10,< 10,< 10,< 10,< 10
%_B89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_L50,< 10,< 10,< 10,< 10,373.0
%_L50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_A07,< 10,< 10,< 10,< 10,11.0
%_A07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C14,< 10,< 10,< 10,< 10,69.0
%_C14,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_G14,< 10,< 10,< 10,< 10,< 10
%_G14,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z96,14.0,24.0,14.0,19.0,5509.0
%_Z96,0.3%,0.51%,0.3%,0.41%,0.35%
N_Z45,< 10,27.0,< 10,28.0,1784.0
%_Z45,< 0.21%,0.58%,< 0.21%,0.6%,0.11%
N_IMO0001,< 10,12.0,< 10,10.0,646.0
%_IMO0001,< 0.21%,0.26%,< 0.21%,< 0.21%,0.04%
N_D23,< 10,< 10,< 10,< 10,140.0
%_D23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G97,< 10,< 10,< 10,< 10,72.0
%_G97,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E74,< 10,< 10,< 10,< 10,185.0
%_E74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O02,< 10,< 10,< 10,< 10,332.0
%_O02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_M42,< 10,< 10,< 10,< 10,54.0
%_M42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_G96,< 10,< 10,< 10,< 10,287.0
%_G96,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S84,< 10,< 10,< 10,< 10,12.0
%_S84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T78,< 10,< 10,< 10,< 10,986.0
%_T78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_G92,< 10,22.0,< 10,18.0,126.0
%_G92,< 0.21%,0.47%,< 0.21%,0.39%,0.01%
N_K29,< 10,11.0,< 10,10.0,1421.0
%_K29,< 0.21%,0.24%,< 0.21%,< 0.21%,0.09%
N_B02,< 10,< 10,< 10,< 10,402.0
%_B02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_Q90,< 10,< 10,< 10,< 10,417.0
%_Q90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_C18,13.0,15.0,13.0,17.0,4846.0
%_C18,0.28%,0.32%,0.28%,0.36%,0.31%
N_Y08,< 10,< 10,< 10,< 10,< 10
%_Y08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K45,< 10,< 10,< 10,< 10,28.0
%_K45,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F16,< 10,< 10,< 10,< 10,78.0
%_F16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K58,< 10,< 10,< 10,< 10,369.0
%_K58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_F15,< 10,< 10,< 10,< 10,132.0
%_F15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C22,< 10,16.0,< 10,21.0,3583.0
%_C22,< 0.21%,0.34%,< 0.21%,0.45%,0.23%
N_S20,< 10,< 10,< 10,< 10,116.0
%_S20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_A09,< 10,11.0,< 10,< 10,145.0
%_A09,< 0.21%,0.24%,< 0.21%,< 0.21%,0.01%
N_V03,< 10,< 10,< 10,< 10,11.0
%_V03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R83,< 10,< 10,< 10,< 10,< 10
%_R83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_T21,< 10,< 10,< 10,< 10,19.0
%_T21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K95,< 10,< 10,< 10,< 10,20.0
%_K95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D32,< 10,< 10,< 10,< 10,1084.0
%_D32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_S37,< 10,< 10,< 10,< 10,144.0
%_S37,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H34,< 10,< 10,< 10,< 10,153.0
%_H34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D76,< 10,< 10,< 10,< 10,79.0
%_D76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_J35,< 10,< 10,< 10,< 10,206.0
%_J35,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H60,< 10,< 10,< 10,< 10,448.0
%_H60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_Q87,< 10,< 10,< 10,< 10,799.0
%_Q87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_T28,< 10,< 10,< 10,< 10,< 10
%_T28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C95,< 10,< 10,< 10,< 10,543.0
%_C95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_L67,< 10,< 10,< 10,< 10,< 10
%_L67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G63,< 10,< 10,< 10,< 10,68.0
%_G63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A15,< 10,< 10,< 10,< 10,44.0
%_A15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_X95,< 10,< 10,< 10,< 10,< 10
%_X95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K43,< 10,< 10,< 10,10.0,1032.0
%_K43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_I38,< 10,< 10,< 10,< 10,311.0
%_I38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_H59,< 10,< 10,< 10,< 10,10.0
%_H59,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B40,< 10,< 10,< 10,< 10,< 10
%_B40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R70,< 10,< 10,< 10,< 10,71.0
%_R70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J98,< 10,38.0,< 10,58.0,2090.0
%_J98,< 0.21%,0.81%,< 0.21%,1.24%,0.13%
N_H15,< 10,< 10,< 10,< 10,45.0
%_H15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S11,< 10,< 10,< 10,< 10,21.0
%_S11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B58,< 10,< 10,< 10,< 10,21.0
%_B58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_G60,< 10,< 10,< 10,< 10,186.0
%_G60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M53,< 10,< 10,< 10,< 10,598.0
%_M53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_O45,< 10,< 10,< 10,< 10,164.0
%_O45,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L93,< 10,< 10,< 10,< 10,48.0
%_L93,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D65,< 10,< 10,< 10,< 10,30.0
%_D65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E70,< 10,< 10,< 10,< 10,21.0
%_E70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N70,< 10,< 10,< 10,< 10,98.0
%_N70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z37,< 10,10.0,< 10,10.0,964.0
%_Z37,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_K25,< 10,< 10,< 10,< 10,201.0
%_K25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R93,< 10,27.0,< 10,19.0,3171.0
%_R93,< 0.21%,0.58%,< 0.21%,0.41%,0.2%
N_D12,< 10,< 10,< 10,< 10,390.0
%_D12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_D16,< 10,< 10,< 10,< 10,249.0
%_D16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_D42,< 10,< 10,< 10,< 10,260.0
%_D42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_G23,< 10,< 10,< 10,< 10,13.0
%_G23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E04,< 10,13.0,10.0,17.0,3369.0
%_E04,< 0.21%,0.28%,< 0.21%,0.36%,0.21%
N_N26,< 10,< 10,< 10,< 10,133.0
%_N26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I23,< 10,< 10,< 10,< 10,31.0
%_I23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F94,< 10,< 10,< 10,< 10,< 10
%_F94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D62,< 10,13.0,< 10,14.0,785.0
%_D62,< 0.21%,0.28%,< 0.21%,0.3%,0.05%
N_T49,< 10,< 10,< 10,< 10,< 10
%_T49,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O64,< 10,< 10,< 10,< 10,< 10
%_O64,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_(null),< 10,< 10,< 10,< 10,< 10
%_(null),< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C60,< 10,< 10,< 10,< 10,46.0
%_C60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I31,< 10,19.0,< 10,20.0,1567.0
%_I31,< 0.21%,0.41%,< 0.21%,0.43%,0.1%
N_J94,< 10,< 10,< 10,< 10,138.0
%_J94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D63,13.0,60.0,16.0,28.0,5342.0
%_D63,0.28%,1.28%,0.34%,0.6%,0.34%
N_F79,< 10,< 10,< 10,< 10,111.0
%_F79,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O07,< 10,< 10,< 10,< 10,< 10
%_O07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_F54,< 10,< 10,< 10,< 10,171.0
%_F54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K05,< 10,< 10,< 10,< 10,251.0
%_K05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_J95,< 10,53.0,< 10,36.0,1555.0
%_J95,< 0.21%,1.13%,< 0.21%,0.77%,0.1%
N_W55,< 10,< 10,< 10,< 10,48.0
%_W55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M26,< 10,< 10,< 10,< 10,492.0
%_M26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_N95,< 10,10.0,< 10,< 10,1008.0
%_N95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_M70,< 10,< 10,< 10,< 10,684.0
%_M70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_H65,< 10,< 10,< 10,< 10,407.0
%_H65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_R53,18.0,183.0,21.0,185.0,5619.0
%_R53,0.39%,3.92%,0.45%,3.96%,0.36%
N_S77,< 10,< 10,< 10,< 10,< 10
%_S77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K65,< 10,< 10,< 10,< 10,263.0
%_K65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S25,< 10,< 10,< 10,< 10,< 10
%_S25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K86,< 10,15.0,< 10,< 10,2092.0
%_K86,< 0.21%,0.32%,< 0.21%,< 0.21%,0.13%
N_A08,< 10,12.0,< 10,< 10,487.0
%_A08,< 0.21%,0.26%,< 0.21%,< 0.21%,0.03%
N_N87,< 10,< 10,< 10,< 10,283.0
%_N87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Q40,< 10,< 10,< 10,< 10,25.0
%_Q40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P00,< 10,< 10,< 10,< 10,64.0
%_P00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E01,< 10,< 10,< 10,< 10,40.0
%_E01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R01,< 10,11.0,< 10,11.0,1989.0
%_R01,< 0.21%,0.24%,< 0.21%,0.24%,0.13%
N_O74,< 10,< 10,< 10,< 10,< 10
%_O74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M48,< 10,19.0,< 10,15.0,3138.0
%_M48,< 0.21%,0.41%,< 0.21%,0.32%,0.2%
N_T40,< 10,< 10,< 10,< 10,283.0
%_T40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_V70,< 10,< 10,< 10,< 10,< 10
%_V70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R99,< 10,< 10,< 10,< 10,10.0
%_R99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K35,< 10,< 10,< 10,< 10,545.0
%_K35,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_L27,< 10,< 10,< 10,< 10,172.0
%_L27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M06,< 10,12.0,< 10,< 10,883.0
%_M06,< 0.21%,0.26%,< 0.21%,< 0.21%,0.06%
N_M79,43.0,74.0,41.0,88.0,16099.0
%_M79,0.92%,1.58%,0.88%,1.88%,1.02%
N_X12,< 10,< 10,< 10,< 10,< 10
%_X12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q15,< 10,< 10,< 10,< 10,26.0
%_Q15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F19,< 10,16.0,10.0,< 10,1948.0
%_F19,< 0.21%,0.34%,< 0.21%,< 0.21%,0.12%
N_Y99,< 10,< 10,< 10,< 10,< 10
%_Y99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S49,< 10,< 10,< 10,< 10,300.0
%_S49,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_T33,< 10,< 10,< 10,< 10,< 10
%_T33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D05,< 10,< 10,< 10,11.0,1870.0
%_D05,< 0.21%,< 0.21%,< 0.21%,0.24%,0.12%
N_S85,< 10,< 10,< 10,< 10,< 10
%_S85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_E86,< 10,36.0,< 10,36.0,1008.0
%_E86,< 0.21%,0.77%,< 0.21%,0.77%,0.06%
N_Z57,< 10,< 10,< 10,< 10,26.0
%_Z57,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A52,< 10,< 10,< 10,< 10,20.0
%_A52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F44,< 10,< 10,< 10,< 10,83.0
%_F44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q66,< 10,< 10,< 10,< 10,231.0
%_Q66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K77,< 10,< 10,< 10,< 10,43.0
%_K77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B85,< 10,< 10,< 10,< 10,29.0
%_B85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_W34,< 10,< 10,< 10,< 10,41.0
%_W34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L26,< 10,< 10,< 10,< 10,< 10
%_L26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z63,< 10,< 10,< 10,< 10,117.0
%_Z63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M85,< 10,12.0,< 10,18.0,1566.0
%_M85,< 0.21%,0.26%,< 0.21%,0.39%,0.1%
N_R55,22.0,67.0,17.0,47.0,6478.0
%_R55,0.47%,1.43%,0.36%,1.01%,0.41%
N_W27,< 10,< 10,< 10,< 10,< 10
%_W27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Y27,< 10,< 10,< 10,< 10,< 10
%_Y27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z73,< 10,< 10,< 10,< 10,11.0
%_Z73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B60,< 10,< 10,< 10,< 10,39.0
%_B60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E07,< 10,< 10,< 10,< 10,257.0
%_E07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
