feature,importance,wasserstein_distance_training,wasserstein_distance_eval,wasserstein_distance_all_visits
I95,0.0021612124347662,0.41520441527224033,0.40352551571051903,0.45630732354915926
G93,0.0021133548905195,0.36673226030642336,0.3438571216431853,0.33709500659972036
M79,0.0020991883056286,0.14872213789694394,0.1437046035499316,0.09398153642683196
I35,0.0020485759374437,0.03790944170539664,0.07836890069401502,0.1659749095051749
Z12,0.002027570177031,-0.21024220844527552,-0.20348847274143084,-0.06890117539482762
R19,0.0020029857150075,0.3225952394875746,0.2915793632092942,0.2562020351885862
I73,0.0020025538493202,0.19911881588999064,0.1661019484138445,0.19954869591273067
F41,0.0019898407731927,0.29429314420188174,0.25336389203371495,0.3175337745205777
I34,0.001954964079824,0.08953546769294286,0.13540501454488,0.2171088095797134
I47,0.001931084779892,0.14555186299163153,0.1256180672919665,0.12451402770041162
M54,0.0019259932482849,0.07747594092039672,0.10234131385336584,0.06933373511978892
M35,0.0018710614687268,0.31344054201192584,0.2867994108703427,0.33580447943814934
2022-01-01,0.0018582668642878,0.05023037584555775,-0.08798399569211167,0.08070211266876565
Z45,0.001842758962106,0.16632467174386398,0.12654472798837163,0.20421581647234646
2022-02-01,0.0018296129341917,-0.14408830627379748,-0.15228766316162765,0.09064954433270217
R57,0.0018206896099345,0.474307191029211,0.46897098421998856,0.51789487452663
C91,0.0017253706415636,0.134978591901407,0.15581261827230738,0.16482065622166614
I63,0.0016940870548365,0.3358673776488296,0.25817175781508883,0.21097000127537974
Z51,0.0016744875214357,0.20993156604620303,0.22456071939329106,0.24738577064106013
R55,0.001657670494841,0.21562856464830607,0.16987836829590625,0.16334609371234707
C50,0.0016312126538032,-0.12799081444288618,-0.07960857536777602,0.042914773581432454
Z23,0.0016030240636658,0.16813042748947155,0.17091565926928454,0.2301822247475698
Z48,0.0015540966528918,0.2380149235665775,0.28283258005528983,0.295247201647848
O80,0.0015003430370765,0.2044869192894091,0.16489043402572667,0.23668076615705214
I40,0.0014638113525464,0.4038993678136555,0.3150984319073533,0.4325152021474443
K56,0.001457112639157,0.2919415192670177,0.32911665502059123,0.32079396540693617
C25,0.0014536552141888,-0.09641479311858045,-0.09494251566757847,0.08273494962157121
R79,0.001452930597885,0.4113217080473312,0.3160984758984915,0.34272896636712114
R74,0.0014390764426704,0.4228657790685874,0.38287726528850163,0.3393894155970318
Z99,0.0013793429455539,0.41257634746953786,0.3903672033837164,0.4311707321974774
R26,0.0013789106295028,0.34455041088537064,0.38267481167978756,0.27813502962000647
I49,0.0013636266767403,0.059893362555629465,0.16594152505386975,0.12550250550613698
E03,0.0013299674891852,0.3143977295196657,0.26212701458115445,0.2834482949019927
K59,0.0013282105652831,0.3752990732740745,0.30590596906257633,0.25098347331108667
K40,0.0012999930462282,0.2202748771722357,0.16390492999012132,0.20402101727036445
J44,0.0012679672944553,0.3787810453263188,0.34695120542348756,0.4022299297208036
R93,0.0012556230626044,0.16777314002743252,0.17097306974748572,0.1898506034113566
I51,0.0012471953594318,0.34208854478660106,0.3449978805448906,0.3317444272901682
Q21,0.0012251654585764,-0.09334901182828072,0.08810565741534011,0.09552141374938189
G47,0.0012174768478943,0.37848858847441585,0.32458049826226776,0.35901210355658714
I65,0.0012146044390314,0.09647162925112537,0.1218276170245842,0.19247827423422623
G89,0.0012010765563932,0.08117800007534756,0.12925122680130122,0.12044232589865551
C90,0.0011939744171773,-0.1122871949897138,-0.06313578141059319,0.09377703828284988
W19,0.0011885233947347,0.3131403301926425,0.3017730834935499,0.23865283075908195
D64,0.0011875905348072,0.3334197914734549,0.3284872204853962,0.28986822585048005
Z17,0.0011850276792772,-0.14453208652572588,-0.09996335904988189,0.04574834787734296
I27,0.0011608065212769,0.2821360683763275,0.24285256435246297,0.28965824179007543
I71,0.0011560948427726,0.1047556952065651,0.08906900044326353,0.174187280439435
R29,0.0011410923303552,0.3624188705617333,0.3379936741252199,0.2629314555823141
I67,0.0011138870109913,0.1096554832620325,0.16352065704260066,0.10481127407199396
D50,0.0011037095607773,0.1468705370080012,0.11455649131362267,0.14613411401282722
Z71,0.0010934537679328,0.19042627879754356,0.22271559443978298,0.21761299743452397
R60,0.0010722086804551,0.23621720698474943,0.2815168814480717,0.2600570804630529
Z93,0.0010682575778349,0.39898626768534384,0.3449635602777109,0.35601360217389705
Z3A,0.001057569510192,-0.09867094503628614,0.17214430471349024,0.12939271851599168
I20,0.0010387191590797,0.24241203614262283,0.20938910152073004,0.27006281761552287
I26,0.0010122961099088,0.36848621760439715,0.2963136188054526,0.32583460305419276
C34,0.0010081459348416,0.053316141012850184,-0.12655589317459875,0.08273357036227051
D69,0.0010064720562902,0.2685249889424472,0.3008081187433002,0.22526639098390935
T45,0.0009968371578904,0.14728805813306778,0.1533966647077257,0.23737202137091518
D63,0.0009927892039509,0.31004918598501297,0.23466008114858586,0.33083174105969154
R21,0.0009847624860896,0.19549099727070762,0.20898895503187115,0.17909549352614756
R63,0.0009556497109621,0.3022128379004748,0.2672252931922194,0.2854009814414917
D57,0.0009524357039589,0.07637088634348431,0.11034064071618899,0.11389602218579237
J98,0.0009346816547393,0.27366765145531446,0.2873871692076699,0.28964198319995277
G44,0.0009228482847302,0.14428625838651324,0.17596684680908412,0.1990316387460885
Z09,0.0009064089622016,0.20803691678292513,0.1430673635450024,0.19023490210880503
R68,0.0008840570388567,0.41641556855292633,0.2973205636211813,0.31549186944217805
N60,0.0008727419691198,0.11468480382331012,-0.15469588004478502,0.08299535223605688
C18,0.0008720462116719,-0.0795273350700656,-0.09534384890918947,0.08467436175689949
F32,0.0008716744714773,0.27215301886447174,0.28416876581343864,0.268235332270805
G43,0.0008664283530233,0.1853198611681797,0.1332717781783648,0.1797887336575083
R13,0.0008534211658909,0.39109996428768784,0.3718204680799093,0.20530564412301033
AMERICAN INDIAN OR ALASKA,0.000848766247923,0.04847049491876339,-0.07484473590179182,0.03014111862282062
D49,0.0008418199056658,0.23998916097004822,0.1509880281476818,0.18578857687959197
R20,0.0008227797620735,0.2643239610766236,0.1725770238982437,0.2002973616374713
E86,0.0008173756625264,0.35151519898843686,0.32993101552041515,0.3259015369450767
C67,0.0008041245004567,0.041590394047614485,-0.10277167438476068,0.08921201654784515
Z91,0.0008001748639347,0.3121670380306718,0.31527850816452047,0.23380352267228738
Z87,0.0007893658765792,0.2546357487753129,0.2139236146654591,0.17591882815204582
C49,0.0007871597458745,-0.08997546446517353,0.03515372839529442,0.042862691611907054
K21,0.0007834744886928,0.2602103098591401,0.24819117615916492,0.23091360795395427
R23,0.0007740697910415,0.3153587043551035,0.26622888032561276,0.29351070361548975
N40,0.0007719486296186,0.3166636119479733,0.2589576969409025,0.22485552064163447
Z67,0.0007620458716595,0.27886259505124905,0.22849697618361647,0.25002605306889236
C83,0.0007603515365705,0.16532939867469054,0.1393798841025932,0.17108232370761958
F17,0.0007556252613687,0.16665751718112906,0.30553376777252256,0.2821853779514821
K76,0.000749542390648,0.23663182743485492,0.18919752015385685,0.20519115602867669
I44,0.0007478415410941,0.15936595092060354,0.09429694548582802,0.1424837470016713
E55,0.0007369044106289,0.31501509388520443,0.28970173533161575,0.3170456740972695
C84,0.0007360770513759,-0.2357399505480397,0.11929954198967996,0.05699184358667182
O99,0.0007346122071627,0.1406911214377422,0.0999994588977903,0.1445330566683232
Z76,0.0007284234943937,0.20324220924286213,0.22132181560676048,0.2520967502029949
I21,0.0007259535497239,0.3764293569631807,0.3696536796513008,0.36443005974279513
D61,0.0007185650987445,0.18290248951796229,0.33339042630987265,0.27916398033331236
M32,0.0006934333984078,0.09630744278195857,0.20161209078719106,0.1889125202043613
R51,0.0006890856325072,0.08299408628808833,0.1649658817620675,0.14557479950847513
